rank,participant,C1,C2,C3,C4,C5,C6,C7,score
1,Ada Tours,17,20,15,15,10,9,6,92
2,Квинта-тур,18,19,15,12,7,8,10,89
3,RussiaDiscovery,19,18,15,9,7,10,10,88
4,Клуб полярных путешествий,20,18,15,8,6,10,10,87
5,АРТ-ТУР,20,17,15,10,8,8,7,85
6,PONANT,20,19,0,13,6,10,10,78
7,HX Expeditions,20,18,0,13,6,10,10,77
8,Antarctica21,20,18,0,13,5,10,10,76
9,Swan Hellenic,20,16,7,8,5,10,10,76
10,Бриз,18,16,15,8,6,6,6,75
11,Quark Expeditions,20,18,0,8,8,10,10,74
12,Aurora Expeditions,20,16,0,9,5,10,10,70
13,Cruise.ru,17,14,15,5,4,5,9,69
14,LaVoyage,17,12,15,4,3,7,9,67
15,Oceanwide Expeditions,20,12,0,5,3,10,10,60
