source_id,participant,class,title,url,used_for,note
S001,ALL,prior_publication,Sostav: Круизы и туры в Антарктиду из Ушуайи — ТОП-10 компаний,https://www.sostav.ru/blogs/292167/107822,provenance,"Публичная frozen-модель от 10.09.2026."
S002,ALL,prior_publication,TenChat: Антарктида 2026–2027 — 10 компаний,https://tenchat.ru/media/6121568-antarktida-20262027-10-kompaniy-dlya-russkoyazychnogo-puteshestvennika,provenance,"Адаптация той же темы; family_id=top10_antarctica_2026."
S003,Ada Tours,official,Ada Tours / Brasil Tours,https://brasiltours.ru/,C2;C3;C4;C5,"Принимающий оператор в Южной Америке; русскоязычная коммуникация и multi-country логистика."
S004,Ada Tours,official,Туры и круизы в Антарктиду,https://brasiltours.ru/antarktika-ru,C1;C2;C3;C6;C7,"Групповые, индивидуальные и VIP-форматы."
S005,Ada Tours,official,Антарктида Экспресс — воздушный круиз,https://brasiltours.ru/antarktida-ekspress-vozdushnyj-kruiz,C1;C2;C4;C6,"Ушуайя — мыс Горн — Антарктида — Пунта-Аренас."
S006,Ada Tours,official,Классическая Антарктида — fly-cruise,https://brasiltours.ru/klassicheskaya-antarktida,C1;C2;C4;C6,"Пунта-Аренас — King George Island — expedition ship."
S007,Ada Tours,official,Аргентина и Патагония,https://brasiltours.ru/argentina-ru,C4;C5,"Наземные программы вокруг антарктической экспедиции."
S008,Квинта-тур,official,Туры в Антарктиду,https://www.quinta.ru/antarctic/,C1;C2;C3;C4;C7,"Актуальные 2026–2028 программы, русские группы, маршрут через Буэнос-Айрес и Ушуайю."
S009,RussiaDiscovery,official,Туры в Антарктиду 2026–2028,https://www.russiadiscovery.ru/regions/antarktida/,C1;C2;C3;C6;C7,"Русская группа, несколько сезонов, актуальные цены."
S010,Клуб полярных путешествий,official,О компании,https://polartravelclub.ru/about/company/,C1;C3;C6;C7,"27 лет в полярных регионах, IAATO, каякинг и ночевки."
S011,АРТ-ТУР,official,Туры в Антарктиду,https://arttour.ru/country/antarktida-chast-sveta/,C1;C2;C3;C4;C6;C7,"Большой каталог 2026–2028: Air-Cruise, Южный полюс, Южная Георгия, Полярный круг."
S012,Swan Hellenic,official,Antarctic expeditions,https://www.swanhellenic.com/ru/destinations/antarctic,C1;C2;C3;C6;C7,"Русскоязычная витрина прямого экспедиционного оператора."
S013,Бриз,official,Круизы по Южной Америке и Антарктиде,https://www.breeze.ru/cruises-south-america,C1;C2;C3;C4;C7,"Русские группы 2026–2027, Антарктида и Южная Америка."
S014,Quark Expeditions,official,Dates and Rates,https://www.quarkexpeditions.com/dates-and-rates,C1;C2;C6;C7,"Глубокий полярный продукт; frozen score."
S015,Cruise.ru,official,Круизы в Антарктику 2026,https://cruise.ru/catalog/sea/cruises-in-antarktika/v-2026,C1;C2;C3;C7,"Конкретные даты, наличие, цены и русскоязычные группы."
S016,LaVoyage,official,Антарктида с русскоязычной группой,https://lavoyage.ru/morskie-kruizy/antarktika-s-russkoyazychnoy-gruppoy/,C1;C2;C3;C6;C7,"Русскоязычные полярные рейсы."
S017,ALL,independent_standard,IAATO ship operator standards,https://iaato.org/faqs/what-standards-do-iaato-ship-operators-subscribe-to,C6,"Контекст экспедиционных высадок и ограничений судов."
S018,PONANT,official,Emblematic Antarctica 2026–2027,https://en.ponant.com/antarctica-emblematic-antarctica-au281226-9,C1;C2;C4;C6;C7,"Included package: Buenos Aires hotel + BA/Ushuaia flights + transfers; Zodiac and kayak."
S019,PONANT,official,Journey to Austral Lands and Valdes Peninsula,https://en.ponant.com/antarctica-journey-to-austral-lands-and-valdes-peninsula-au260227-9,C1;C2;C4;C5;C6;C7,"Antarctica + South America context, included Buenos Aires package."
S020,HX Expeditions,official,Highlights of Antarctica,https://b2c-prod.travelhx.com/en/cruises/highlights-of-antarctica/,C1;C2;C4;C6;C7,"Buenos Aires hotel, BA-Ushuaia flights, transfers, landings, kayak/camping extras."
S021,HX Expeditions,official,Antarctica and Falklands Expedition,https://b2c-prod.travelhx.com/en/cruises/antarctica-falklands-expedition/,C1;C2;C4;C6;C7,"Extended Antarctica product with Buenos Aires/Ushuaia logistics."
S022,Antarctica21,official,2026–27 Antarctic Air-Cruise Season,https://www.antarctica21.com/journal/announcing-our-2026-27-antarctic-air-cruise-season,C1;C2;C4;C6;C7,"Пять air-cruise itineraries; season 2026–27."
S023,Antarctica21,official,Classic Antarctica Air-Cruise,https://www.antarctica21.com/our-expeditions/classic-antarctica-air-cruise,C1;C2;C4;C6;C7,"Punta Arenas hotel, airport transfers, Antarctic flight, Zodiac landings."
S024,Aurora Expeditions,official,Antarctica Cruises 2026,https://www.aurora-expeditions.com/destination/antarctica-cruises/2026,C1;C6;C7,"Актуальная линейка 2026: Peninsula, South Georgia, Ross Sea."
S025,Aurora Expeditions,official,What's Included,https://www.aurora-expeditions.com/about-us/general-inclusions,C2;C4;C6,"Antarctic voyages include pre-voyage hotel and selected transfers."
S026,Oceanwide Expeditions,official,Antarctica 2026–2027 rates,https://cdn.oceanwide-expeditions.com/dr/Antarctica_2026-2027USD.pdf,C1;C6;C7,"Текущие даты/цены; Ushuaia departures."
S027,Oceanwide Expeditions,official,Antarctica Basecamp,https://oceanwide-expeditions.com/antarctica/cruises/pla26-27-antarctica-basecamp-free-camping-kayaking-snowshoe-hiking-mountaineering-photo-workshop,C1;C2;C6;C7,"Zodiac, camping, kayaking, snowshoeing; airfare and pre/post land arrangements excluded."
S028,Quark Expeditions,official,Antarctic 2026–2027 Brochure,https://brochures.quarkexpeditions.com/view/897020870,C1;C2;C4;C5;C6;C7,"Current season brochure; charter flight/hotel packages and Patagonia product. Frozen score not recalculated."
