criterion_id,max_points,score_band,anchor
C1,20,0–5,Антарктический продукт минимален или косвенный.
C1,20,6–12,Есть несколько стандартных маршрутов.
C1,20,13–17,Широкая линейка Антарктиды.
C1,20,18–20,"Очень глубокий продукт: несколько регионов/форматов, специальные экспедиции."
C2,20,0–5,Продается в основном каюта.
C2,20,6–12,Часть наземной логистики поддерживается.
C2,20,13–17,"Есть hotel/transfers/flight элементы вокруг круиза."
C2,20,18–20,Публично подтверждена почти вся цепочка до/после экспедиции.
C3,15,0–3,Русский язык не подтвержден.
C3,15,4–9,Есть частичная русскоязычная витрина/поддержка.
C3,15,10–14,Русская продажа и часть сопровождения подтверждены.
C3,15,15,Сильная русскоязычная работа.
C4,15,0–4,Наземная программа Южной Америки минимальна.
C4,15,5–9,Подтверждены Ушуайя/Буэнос-Айрес/Пунта-Аренас.
C4,15,10–12,Есть более широкая Аргентина/Чили вокруг экспедиции.
C4,15,13–15,Сильная Патагония и несколько регионов Южной Америки.
C5,10,0–3,Почти фиксированный круизный продукт.
C5,10,4–6,Есть extensions и отдельные настройки.
C5,10,7–9,Гибкая сборка поездки.
C5,10,10,Индивидуальный multi-country маршрут является сильной компетенцией.
C6,10,0–3,Экспедиционная часть ограничена.
C6,10,4–7,Есть базовые landings/Zodiac.
C6,10,8–9,Широкий набор экспедиционных форматов.
C6,10,10,Максимально глубокая экспедиционная линейка.
C7,10,0–3,Слабая или устаревшая публичная витрина.
C7,10,4–7,Актуальность подтверждена частично.
C7,10,8–9,Есть текущие даты и подробные условия.
C7,10,10,Сильная актуальная витрина сезона 2026–2027.
